check_time,AREA_CD,AREA_NM,latitude,longitude,risk_score,risk_level,congest_lvl,accident_cnt,accident_info
2026-06-03 18:30:35,POI001,강남 MICE 관광특구,37.51243164,127.0588472,50,보통,보통,0,
2026-06-03 18:30:35,POI002,동대문 관광특구,37.56894677,127.0126366,50,보통,보통,0,
2026-06-03 18:30:35,POI003,명동 관광특구,37.56390452,126.9800427,25,여유,여유,0,
2026-06-03 18:30:35,POI004,이태원 관광특구,37.53409,126.994819,25,여유,여유,0,
2026-06-03 18:30:35,POI005,잠실 관광특구,37.51142084,127.0980453,100,붐빔,붐빔,0,
2026-06-03 18:30:35,POI006,종로·청계 관광특구,37.570031,127.001665,50,보통,보통,0,
2026-06-03 18:30:35,POI007,홍대 관광특구,37.554995,126.922271,50,보통,보통,0,
2026-06-03 18:30:35,POI008,경복궁,37.576926,126.9791106,25,여유,여유,0,
2026-06-03 18:30:35,POI009,광화문·덕수궁,37.562981,126.977556,25,여유,여유,0,
2026-06-03 18:30:35,POI010,보신각,37.571794,126.984174,25,여유,여유,0,
2026-06-03 18:30:35,POI011,서울 암사동 유적,37.5591723,127.1303425,25,여유,여유,0,
2026-06-03 18:30:35,POI012,창덕궁·종묘,37.57807922,126.9893357,25,여유,여유,0,
2026-06-03 18:30:35,POI013,가산디지털단지역,37.480029,126.878275,25,여유,여유,0,
2026-06-03 18:30:35,POI014,강남역,37.493925,127.027951,25,여유,여유,0,
2026-06-03 18:30:35,POI015,건대입구역,37.53867795,127.0682434,75,약간 붐빔,약간 붐빔,0,
2026-06-03 18:30:35,POI016,고덕역,37.552781,127.155066,50,보통,보통,0,
2026-06-03 18:30:35,POI017,고속터미널역,37.504347,127.003537,75,약간 붐빔,약간 붐빔,0,
2026-06-03 18:30:35,POI018,교대역,37.49419477,127.016614,25,여유,여유,0,
2026-06-03 18:30:35,POI019,구로디지털단지역,37.48494,126.900314,25,여유,여유,0,
2026-06-03 18:30:35,POI020,구로역,37.50114707,126.8827651,25,여유,여유,0,
2026-06-03 18:30:35,POI021,군자역,37.555597,127.078993,50,보통,보통,0,
2026-06-03 18:30:35,POI023,대림역,37.4931362,126.8953742,25,여유,여유,0,
2026-06-03 18:30:35,POI024,동대문역,37.56997395,127.0113589,50,보통,보통,0,
2026-06-03 18:30:35,POI025,뚝섬역,37.547841,127.044152,25,여유,여유,0,
2026-06-03 18:30:35,POI026,미아사거리역,37.61377455,127.0290251,50,보통,보통,0,
2026-06-03 18:30:35,POI027,발산역,37.559376,126.834137,25,여유,여유,0,
2026-06-03 18:30:35,POI029,사당역,37.47769442,126.9822535,25,여유,여유,0,
2026-06-03 18:30:35,POI030,삼각지역,37.535534,126.974032,25,여유,여유,0,
2026-06-03 18:30:35,POI031,서울대입구역,37.483205,126.955543,50,보통,보통,0,
2026-06-03 18:30:35,POI032,서울식물원·마곡나루역,37.570418,126.835268,25,여유,여유,0,
2026-06-03 18:30:35,POI033,서울역,37.558697,126.975562,25,여유,여유,0,
2026-06-03 18:30:35,POI034,선릉역,37.50466162,127.051033,25,여유,여유,0,
2026-06-03 18:30:35,POI035,성신여대입구역,37.593034,127.017702,50,보통,보통,0,
2026-06-03 18:30:35,POI036,수유역,37.641839,127.025067,50,보통,보통,0,
2026-06-03 18:30:35,POI037,신논현역·논현역,37.51091223,127.0219681,25,여유,여유,0,
2026-06-03 18:30:35,POI038,신도림역,37.508607,126.888938,25,여유,여유,0,
2026-06-03 18:30:35,POI039,신림역,37.48386679,126.9302074,50,보통,보통,0,
2026-06-03 18:30:35,POI040,신촌·이대역,37.554134,126.934784,50,보통,보통,0,
2026-06-03 18:30:35,POI041,양재역,37.48563085,127.0325431,25,여유,여유,0,
2026-06-03 18:30:35,POI042,역삼역,37.50193499,127.0418419,25,여유,여유,0,
2026-06-03 18:30:35,POI043,연신내역,37.61808976,126.921164,50,보통,보통,0,
2026-06-03 18:30:35,POI044,오목교역·목동운동장,37.53541819,126.8778381,75,약간 붐빔,약간 붐빔,0,
2026-06-03 18:30:35,POI045,왕십리역,37.562091,127.037925,25,여유,여유,0,
2026-06-03 18:30:35,POI046,용산역,37.532569,126.960339,100,붐빔,붐빔,0,
2026-06-03 18:30:35,POI047,이태원역,37.53409,126.994819,25,여유,여유,0,
2026-06-03 18:30:35,POI048,장지역,37.47759221,127.125068,50,보통,보통,0,
2026-06-03 18:30:35,POI049,장한평역,37.56262356,127.0668804,25,여유,여유,0,
2026-06-03 18:30:35,POI050,천호역,37.54013195,127.1230688,50,보통,보통,0,
2026-06-03 18:30:35,POI051,총신대입구(이수)역,37.48342865,126.9826138,25,여유,여유,0,
2026-06-03 18:30:35,POI052,충정로역,37.56188747,126.9633754,25,여유,여유,0,
2026-06-03 18:30:35,POI053,합정역,37.54635339,126.9176095,50,보통,보통,0,
2026-06-03 18:30:35,POI054,혜화역,37.58275,127.00364,100,붐빔,붐빔,0,
2026-06-03 18:30:35,POI055,홍대입구역(2호선),37.554995,126.922271,100,붐빔,붐빔,0,
2026-06-03 18:30:35,POI056,회기역,37.59035569,127.0609971,25,여유,여유,0,
2026-06-03 18:30:35,POI058,가락시장,37.49132944,127.1165863,25,여유,여유,0,
2026-06-03 18:30:35,POI059,가로수길,37.519374,127.022607,50,보통,보통,0,
2026-06-03 18:30:35,POI060,광장(전통)시장,37.570031,127.001665,25,여유,여유,0,
2026-06-03 18:30:35,POI061,김포공항,37.560122,126.804257,25,여유,여유,0,
2026-06-03 18:30:35,POI063,노량진,37.51231037,126.9394481,50,보통,보통,0,
2026-06-03 18:30:35,POI064,덕수궁길·정동길,37.56599648,126.9769402,25,여유,여유,0,
2026-06-03 18:30:35,POI066,북촌한옥마을,37.583753,126.98185,25,여유,여유,0,
